State,Temp_Min,Temp_Max,Oxy_Min,Oxy_Max,pH_Min,pH_Max,Con_Min,Con_Max,BOD_Min,BOD_Max,N_Min,N_Max,FC_Min,FC_Max,TC_Min,TC_Max
HIMACHAL PRADESH,2,24,7.8,9.2,7.2,8.2,68,380,1,2.8,0.32,1.15,2,170,63,540
HIMACHAL PRADESH,2,13,7.6,9,6.5,8.1,58,135,1,2.8,0.32,1.87,110,1600,920,1600
HIMACHAL PRADESH,2,13,7.8,8.8,6.7,7.8,62,113,1,2.8,0.32,1.08,110,1600,350,1600
HIMACHAL PRADESH,2,14,7.9,8.9,6.3,8,52,137,1,1,0.32,1.74,22,110,79,540
HIMACHAL PRADESH,2,13,7.8,9.1,7,7.8,51,113,1,1,0.32,0.97,23,120,110,430
HIMACHAL PRADESH,4,16,7.6,8.7,6.7,7.8,44,128,1,1,0.32,0.9,49,220,240,920
HIMACHAL PRADESH,4,16,7.6,8.4,6.6,7.7,73,170,1,1.6,0.32,0.96,47,150,280,920
HIMACHAL PRADESH,4,16,7.5,8.4,7.2,8,77,144,1,1.6,0.32,2.65,110,540,540,1600
HIMACHAL PRADESH,5,16,7.5,8.1,7.2,8.2,61,129,1,1,0.32,0.77,34,280,170,1600
HIMACHAL PRADESH,9,26,8.3,9,7.1,8.3,65,205,1,1,0.32,1.06,22,79,70,430
HIMACHAL PRADESH,8,26,8,9.3,7.1,8.2,61,202,1,1,0.32,1.15,41,110,210,920
HIMACHAL PRADESH,10,28,8.1,9.1,6.9,8.1,96,280,1,1,0.32,0.95,17,94,63,350
HIMACHAL PRADESH,6,25,7.8,9.2,7.2,8,80,190,1,1,0.32,0.98,23,94,120,430
HIMACHAL PRADESH,8,25,8.3,9.1,7,8,84,191,1,1,0.51,5.3,41,280,220,1600
HIMACHAL PRADESH,13,22,8.6,9.4,7.2,8.2,115,362,1,1,1.2,4.83,2,68,110,16000
HIMACHAL PRADESH,13,22,8.5,9.2,7.3,8.3,123,960,1,1,0.98,4.21,2,45,70,9200
HIMACHAL PRADESH,14,22,6.8,9.3,7.5,8.5,81,404,1,1.2,0.3,2.53,2,93,39,5400
HIMACHAL PRADESH,7,19,8.2,9.1,7.5,8.5,157,257,1,1,0.41,3.57,2,78,220,5400
HIMACHAL PRADESH,8,20,8.1,9.2,7.4,8.2,158,264,1,1,0.73,2.87,2,68,170,5400
HIMACHAL PRADESH,15,22,6.7,9.2,7.2,8.2,107,386,1,1,1.08,3.27,2,110,40,5400
HIMACHAL PRADESH,15,28,7.7,9,6.9,8.8,241,964,1,4.8,0.32,2.59,2,5,17,170
HIMACHAL PRADESH,14.9,28,7.6,8.8,7,8.2,229,545,1,3.6,0.32,3.12,2,5,17,220
HIMACHAL PRADESH,15.6,27,6.7,8.9,7.4,8.3,241,3040,1,2.8,0.3,1.17,2,8,17,170
HIMACHAL PRADESH,15.5,28,7.8,8.9,7.2,8.4,216,397,1,3.4,0.32,1.16,2,8,21,140
HIMACHAL PRADESH,3,15,7.8,8.7,6.8,8.2,53,137,1,1,0.32,0.96,47,140,220,920
HIMACHAL PRADESH,4,16,7.5,8.5,7,8.1,56,281,1,1,0.32,0.84,58,140,280,920
HIMACHAL PRADESH,17.5,27,7.2,10,8.1,8.6,174,230,1,2,0.37,2.57,11,3800,46,17000
PUNJAB,18,28,5.8,10.7,8,8.4,201,226,1,1.1,0.4,2.17,110,22000,270,92000
PUNJAB,13,33,6.7,10.1,7.4,8.2,178,244,1,1.2,0.7,1.2,18,46,70,150
PUNJAB,11,34,7.7,9.1,7.7,8.3,198,359,1,1.2,0.4,1.11,27,93,110,240
PUNJAB,11,34,7.7,9.1,7.5,8.3,204,395,1,1.3,0.6,0.9,26,78,94,170
PUNJAB,11,34,7.4,8.9,7.5,8.3,218,295,1,1.2,0.5,1.1,31,140,120,330
PUNJAB,15,27,7,9.1,7.6,8.2,203,275,1,1.3,0.7,1.4,27,140,110,340
PUNJAB,14,28,8,9.2,7.5,8.2,191,245,1,1.2,0.4,1.05,68,140,220,330
PUNJAB,14,28,8.1,9.1,7.7,8.2,201,256,1,1.2,0.6,1.31,120,210,280,400
PUNJAB,16,28,6.9,9.4,7.8,8.2,190,276,1,1.4,0.5,0.97,63,170,220,380
PUNJAB,14,28,7.9,8.9,7.8,8.1,203,264,1,1.3,0.5,1.1,93,170,260,380
PUNJAB,16,27,6.5,9.2,7.7,8.2,192,288,1,1.3,0.6,1,33,170,140,350
PUNJAB,26,27,7.9,8.8,7.9,8.1,211,240,1,1.2,0.7,0.97,84,130,260,280
PUNJAB,26,27,7.9,9,7.9,8.1,208,239,1,1.1,0.7,0.93,70,110,220,370
PUNJAB,26,27,7.8,8.9,7.8,8,209,241,1,1.1,0.8,0.97,94,140,280,340
HIMACHAL PRADESH,7,11.5,9.1,9.4,7.5,8.3,141,534,1,1,0.32,1.49,2,33,9,280
HIMACHAL PRADESH,7,11.5,9.2,9.5,7.8,8.4,127,531,1,1,0.32,1.5,2,49,7,1600
HIMACHAL PRADESH,7,11.5,9,9.3,7.6,8.4,118,505,1,1,0.32,1.19,2,350,4,1600
HIMACHAL PRADESH,7.5,11.5,9,9.3,7.6,8.4,118,490,1,1,0.32,1.4,7,33,17,350
HIMACHAL PRADESH,7,11.5,9,9.3,7.8,8.4,122,481,1,1,0.32,1.23,5,140,17,350
HIMACHAL PRADESH,7.5,12,8.7,9.3,7.5,8.3,119,517,1,1,0.32,1.44,2,33,11,350
HIMACHAL PRADESH,7,12,8.9,9.4,7.5,8.5,117,491,1,1,0.32,1.39,2,110,7,540
HIMACHAL PRADESH,7,12,8.8,9.3,7.8,8.4,121,460,1,1,0.32,1.39,2,27,8,540
HIMACHAL PRADESH,7.5,12,8.7,9.3,7.7,8.4,108,468,1,1,0.32,1.4,2,46,9,1600
HIMACHAL PRADESH,7,12,8.7,9.3,7.5,8.4,115,437,1,1,0.32,1.43,5,22,17,350
HIMACHAL PRADESH,7.5,13.5,8.7,9.2,7.5,8.3,105,254,1,1,0.32,1.42,7,170,17,1600
HIMACHAL PRADESH,7.5,13,8.5,9.3,7.7,8.3,107,251,1,1,0.32,0.95,2,39,17,350
HIMACHAL PRADESH,8,13.5,8.6,9.2,7.6,8.3,100,249,1,1,0.32,0.95,2,280,5,1600
HIMACHAL PRADESH,7.5,14,8.6,9.3,6.5,8.2,117,447,1,1,0.32,3.95,4,26,17,1600
HIMACHAL PRADESH,7,13,8.5,9.3,7.5,8.3,97,245,1,1,0.32,0.77,7,39,32,920
HIMACHAL PRADESH,7.5,13,8.6,9.2,7.5,8.2,104,253,1,1,0.32,0.89,2,79,7,1600
HIMACHAL PRADESH,9,26,8.3,9.2,7.4,8,102,235,1,1,0.32,2.21,23,84,110,280
