State,Temp_Min,Temp_Max,Oxy_Min,Oxy_Max,pH_Min,pH_Max,Con_Min,Con_Max,BOD_Min,BOD_Max,N_Min,N_Max,FC_Min,FC_Max,TC_Min,TC_Max
BIHAR,21.0,30.0,5.9,9.5,7.5,8.4,168,372,1.0,2.9,0.3,0.3,1300,35000,2400,92000
RAJASTHAN,18.0,33.0,4.4,6.1,8.2,8.9,299,1046,1.0,2.4,1.42,3.43,70,170,150,280
ODISHA,21.0,31.0,5.8,7.6,7.2,8.3,146,380,1.4,2.2,0.32,0.84,220,1700,790,4900
KARNATAKA,25.0,32.0,6.5,8.1,6.2,8.9,210,960,1.0,3.5,5.9,19.26,540,920,920,1600
UTTAR PRADESH,18.0,32.0,1.4,1.4,7.2,7.4,380,750,32.0,44.0,0.0,0.0,2602,26006,6613,34054
TAMIL NADU,22.0,32.0,5.2,7.5,7.0,8.1,84,395,1.0,2.4,0.32,0.82,2,17,11,39
ASSAM,23.0,24.0,5.1,9.0,6.7,7.7,128,188,2.1,2.7,0.6,1.9,720,1100,1500,2100
MADHYA PRADESH,22.6,30.2,6.5,6.8,6.6,7.9,165,1864,1.0,1.9,0.32,0.34,2,2,2,20
MAHARASHTRA,19.0,20.0,5.3,6.0,7.8,8.7,750,1210,3.0,4.0,0.3,4.07,12,38,110,280
MADHYA PRADESH,21.2,25.4,7.0,7.8,7.1,8.0,256,642,1.3,1.9,0.14,1.6,2,14,17,70
ODISHA,23.0,30.0,6.2,10.0,7.3,8.5,150,264,1.3,2.1,0.32,0.75,49,2200,240,4900
JHARKHAND,16.0,35.0,6.9,8.2,7.1,7.9,224,312,1.1,5.0,0.0,0.0,2,2,33,44
UTTAR PRADESH,18.5,27.7,2.9,5.8,7.3,7.9,348,741,5.5,8.0,1.28,1.68,13000,49000,23000,94000
MADHYA PRADESH,20.0,21.5,7.1,7.8,7.5,8.5,194,298,1.0,1.1,0.7,1.08,2,2,31,41
ODISHA,18.5,33.0,5.1,7.3,6.9,7.7,176,957,1.2,1.9,0.32,1.04,230,2300,1100,4900
KARNATAKA,25.0,35.0,2.5,6.1,6.9,7.5,582,1072,4.0,8.0,2.0,19.0,23,7900,540,160000
MAHARASHTRA,26.0,28.0,4.8,5.8,7.0,8.0,190,711,3.5,8.9,0.3,7.7,8,70,140,550
MEGHALAYA,15.0,22.0,7.0,7.6,7.0,7.5,57,77,1.5,2.3,0.32,0.45,12,110,310,630
MAHARASHTRA,27.5,29.0,2.9,4.1,7.1,7.9,499,693,17.9,27.0,0.3,4.9,10,225,275,1800
WEST BENGAL,18.0,30.0,2.2,5.7,6.1,7.6,117,240,7.0,23.5,0.3,1.54,110000,1400000,220000,5000000
MAHARASHTRA,22.0,27.0,5.3,6.0,7.9,8.3,872,1216,3.2,4.8,0.32,8.54,17,41,120,280
BIHAR,13.0,32.0,6.3,9.5,7.1,8.4,240,410,1.0,2.3,0.3,0.3,2300,54000,4600,92000
TELANGANA,25.0,31.1,5.0,6.2,7.3,8.4,254,762,1.0,2.5,0.43,2.8,2,2,17,47
GUJARAT,27.0,32.0,4.1,7.2,7.5,8.4,346,590,1.0,2.0,0.46,1.21,2,12,13,70
MIZORAM,19.0,36.0,5.3,9.1,6.9,7.5,81,119,1.0,1.4,0.02,0.78,181,442,371,971
UTTAR PRADESH,14.0,31.0,6.3,11.6,8.0,8.5,218,388,3.2,6.3,0.0,0.0,252,3400,2700,4900
RAJASTHAN,21.5,32.3,4.6,6.4,7.1,8.3,358,611,1.0,4.0,1.94,3.49,2,5,2,16
TELANGANA,19.0,24.0,5.8,7.0,7.0,8.6,862,1357,2.0,3.0,8.16,33.17,4,5,31,41
KARNATAKA,19.0,30.0,5.8,7.2,7.7,8.4,174,460,1.0,3.5,0.3,2.9,93,320,1100,2300
KARNATAKA,22.0,30.0,7.1,7.8,7.3,8.5,328,900,2.0,3.0,0.3,3.34,280,490,1600,2800
ODISHA,18.0,33.0,7.6,8.2,6.8,8.2,120,265,1.1,1.9,0.32,1.38,110,790,490,2400
UTTARAKHAND,15.0,17.0,10.0,10.6,7.6,8.3,47,137,1.0,1.0,0.32,0.35,2,2,2,4
UTTARAKHAND,13.0,30.0,5.0,7.2,7.1,7.8,322,482,2.4,3.0,0.34,0.55,220,920,350,1600
ASSAM,20.0,23.0,5.0,5.4,7.0,7.3,92,133,2.0,2.3,0.7,1.0,360,730,910,1500
ODISHA,24.0,31.0,7.2,9.2,7.0,8.5,152,334,1.0,1.0,0.32,0.32,170,1100000,1700,28000000
HIMACHAL PRADESH,10.0,33.0,8.1,8.9,6.8,8.3,150,335,1.0,2.8,0.39,3.5,33,1600,240,1600
KARNATAKA,17.0,29.0,0.3,7.8,6.5,8.4,69,2430,1.0,78.0,0.32,8.0,48,4800000,79,54000000
MIZORAM,17.0,30.0,5.8,12.7,6.8,8.1,51,233,1.0,1.4,0.02,0.83,6,26,78,2116
MIZORAM,19.0,24.0,5.1,9.0,7.7,8.4,119,320,1.0,1.6,0.02,0.86,226,14700,553,37260
MAHARASHTRA,25.0,28.0,5.8,6.6,7.3,8.0,59,155,2.2,3.2,0.3,1.22,4,40,80,350
TELANGANA,25.0,27.0,5.2,6.2,6.6,8.4,436,811,1.0,2.9,0.58,3.24,2,2,21,70
MADHYA PRADESH,20.1,24.2,6.3,7.8,7.4,8.0,228,713,1.2,2.2,0.14,1.6,2,9,17,48
TELANGANA,19.0,28.0,5.9,7.0,7.2,7.8,1203,1489,2.3,3.9,14.13,26.12,6,7,34,41
UTTAR PRADESH,24.0,28.0,7.0,8.0,7.5,7.8,406,1800,6.4,14.4,0.0,0.0,4000,7000,7800,11000
MADHYA PRADESH,20.0,22.0,6.9,7.6,7.0,8.5,302,445,1.0,1.8,0.73,1.55,2,2,2,49
MAHARASHTRA,25.0,31.0,5.1,6.3,7.4,8.2,230,3504,2.8,5.8,0.3,1.56,8,30,85,250
ODISHA,23.0,28.0,6.2,12.0,7.4,8.4,290,523,1.1,1.6,0.32,1.78,130,790,460,3500
MADHYA PRADESH,22.8,30.2,6.6,8.1,6.9,8.0,173,2756,1.6,2.3,0.32,0.48,2,2,41,110
BIHAR,10.0,33.0,6.3,9.0,7.2,8.3,219,463,1.0,2.9,0.3,0.33,1300,54000,2300,92000
MAHARASHTRA,27.0,29.0,3.6,4.6,7.1,7.9,337,667,11.0,21.0,0.3,3.12,20,170,540,1800
KARNATAKA,19.0,29.0,5.5,6.9,7.7,8.7,158,438,2.0,4.0,1.4,2.8,110,210,1200,1700
GUJARAT,22.0,30.0,7.5,8.5,8.1,8.5,307,554,1.0,1.0,0.82,1.36,4,30,21,70
