iter	Passed	Remaining
0	145	145178
1	147	73523
2	149	49721
3	151	37764
4	153	30526
5	155	25794
6	158	22539
7	161	19966
8	163	17957
9	164	16315
10	166	14993
11	169	13953
12	171	13004
13	173	12201
14	175	11515
15	177	10915
16	179	10380
17	181	9901
18	183	9465
19	185	9081
20	187	8728
21	188	8398
22	190	8092
23	192	7836
24	194	7588
25	196	7360
26	198	7154
27	200	6957
28	202	6772
29	204	6599
30	206	6440
31	208	6297
32	209	6149
33	211	6016
34	213	5890
35	215	5769
36	217	5652
37	219	5544
38	220	5434
39	222	5338
40	224	5251
41	226	5156
42	227	5067
43	229	4986
44	231	4906
45	232	4828
46	234	4755
47	236	4683
48	237	4617
49	239	4558
50	241	4501
51	243	4444
52	245	4388
53	247	4334
54	249	4278
55	250	4224
56	252	4171
57	254	4126
58	256	4083
59	257	4036
60	259	3992
61	260	3948
62	262	3906
63	264	3863
64	265	3820
65	267	3780
66	268	3740
67	270	3706
68	272	3672
69	273	3637
70	275	3610
71	277	3575
72	278	3541
73	280	3510
74	282	3479
75	283	3447
76	285	3417
77	287	3392
78	288	3364
79	290	3336
80	291	3309
81	293	3281
82	294	3255
83	296	3229
84	297	3203
85	299	3179
86	300	3155
87	302	3136
88	304	3114
89	305	3091
90	307	3069
91	308	3047
92	310	3026
93	311	3005
94	313	2984
95	314	2964
96	316	2944
97	318	2929
98	319	2911
99	321	2893
100	322	2874
101	324	2856
102	326	2840
103	327	2822
104	329	2805
105	330	2788
106	332	2772
107	334	2760
108	335	2745
109	337	2731
110	339	2715
111	340	2701
112	342	2685
113	343	2670
114	345	2655
115	346	2642
116	348	2629
117	350	2619
118	352	2607
119	353	2593
120	355	2580
121	356	2567
122	358	2555
123	359	2543
124	361	2531
125	363	2520
126	365	2513
127	367	2503
128	369	2492
129	370	2481
130	372	2469
131	373	2458
132	375	2447
133	377	2437
134	378	2427
135	380	2417
136	382	2411
137	384	2401
138	386	2392
139	387	2383
140	389	2373
141	391	2364
142	393	2355
143	394	2346
144	396	2337
145	398	2331
146	400	2322
147	401	2313
148	403	2305
149	405	2296
150	406	2287
151	408	2279
152	410	2270
153	411	2262
154	413	2256
155	415	2248
156	417	2239
157	418	2231
158	420	2223
159	421	2214
160	423	2206
161	425	2198
162	426	2190
163	428	2184
164	430	2178
165	432	2170
166	433	2163
167	435	2156
168	436	2148
169	438	2141
170	440	2135
171	442	2128
172	444	2125
173	446	2119
174	448	2113
175	450	2107
176	451	2100
177	453	2093
178	455	2087
179	456	2080
180	458	2073
181	460	2069
182	462	2063
183	464	2058
184	465	2051
185	467	2045
186	469	2039
187	470	2033
188	472	2027
189	474	2022
190	476	2018
191	478	2012
192	480	2007
193	481	2000
194	483	1995
195	485	1989
196	486	1983
197	488	1977
198	490	1972
199	492	1968
200	494	1963
201	495	1958
202	497	1952
203	499	1947
204	500	1942
205	502	1937
206	504	1932
207	506	1927
208	508	1923
209	510	1918
210	511	1913
211	513	1908
212	515	1903
213	516	1897
214	518	1892
215	519	1887
216	521	1882
217	523	1877
218	525	1873
219	527	1868
220	528	1864
221	530	1858
222	532	1853
223	533	1849
224	535	1844
225	537	1840
226	539	1836
227	541	1832
228	542	1827
229	544	1822
230	545	1817
231	547	1812
232	549	1808
233	550	1803
234	552	1799
235	554	1795
236	556	1793
237	558	1788
238	560	1784
239	562	1779
240	563	1775
241	565	1770
242	566	1765
243	568	1761
244	570	1756
245	572	1753
246	573	1748
247	575	1744
248	576	1739
249	578	1735
250	580	1731
251	581	1726
252	583	1722
253	584	1717
254	587	1715
255	588	1711
256	590	1707
257	592	1703
258	593	1699
259	595	1695
260	597	1691
261	599	1687
262	600	1683
263	602	1680
264	604	1677
265	606	1672
266	607	1668
267	609	1664
268	610	1660
269	612	1656
270	614	1652
271	615	1648
272	617	1645
273	620	1643
274	622	1639
275	623	1636
276	625	1633
277	627	1629
278	629	1626
279	631	1623
280	633	1621
281	636	1619
282	637	1616
283	639	1613
284	641	1610
285	643	1607
286	646	1604
287	648	1602
288	650	1601
289	652	1598
290	655	1596
291	657	1594
292	659	1591
293	661	1589
294	664	1587
295	666	1585
296	668	1582
297	670	1579
298	672	1577
299	674	1574
300	677	1572
301	678	1569
302	681	1567
303	683	1564
304	685	1562
305	688	1560
306	690	1558
307	692	1554
308	694	1552
309	696	1549
310	698	1547
311	700	1544
312	702	1542
313	704	1539
314	706	1536
315	708	1533
316	710	1530
317	712	1527
318	714	1525
319	716	1521
320	717	1518
321	719	1515
322	721	1512
323	723	1509
324	725	1505
325	726	1502
326	728	1499
327	730	1496
328	731	1492
329	733	1489
330	735	1486
331	736	1482
332	738	1479
333	740	1475
334	741	1472
335	743	1469
336	745	1467
337	747	1463
338	749	1461
339	751	1458
340	752	1455
341	754	1451
342	756	1448
343	757	1445
344	759	1442
345	761	1439
346	763	1436
347	764	1433
348	766	1429
349	768	1426
350	769	1423
351	771	1419
352	772	1416
353	774	1413
354	776	1411
355	780	1412
356	782	1408
357	783	1405
358	785	1402
359	786	1398
360	788	1395
361	790	1392
362	792	1390
363	793	1386
364	795	1383
365	796	1380
366	798	1377
367	800	1374
